"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular, .NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"MERN Stack, MongoDB, Express.js, React, Node.js","https://example.com/mern-portfolio"
"MEAN Stack, MongoDB, Express.js, Angular, Node.js","https://example.com/mean-portfolio"
"Data Science, Python, Pandas, Scikit-learn","https://example.com/data-science-portfolio"
"Blockchain, Ethereum, Solidity, Web3.js","https://example.com/blockchain-portfolio"
"Cybersecurity, Penetration Testing, Kali Linux, Metasploit","https://example.com/cybersecurity-portfolio"
"Cloud Computing, AWS, Google Cloud, Azure","https://example.com/cloud-portfolio"
"Game Development, Unity, C#, Unreal Engine","https://example.com/game-dev-portfolio"
"Embedded Systems, Raspberry Pi, Arduino, IoT","https://example.com/embedded-systems-portfolio"
